,MonthPE,Date,Daily_Temp,Daily_Precip,Daily_Humidity,Daily_Pressure,Daily_WindDir,Daily_WindSpeed,Daily_DNI,Daily_GHI,Daily_radiation
2018-12-31,12,2018-12-31,24.59,55.839999999999996,93.6,1000.78,66.4,7.909999999999999,0.3,152.2,152.1
2019-01-01,1,2019-01-01,25.133333333333336,49.125,88.5,1001.4583333333334,71.5,7.108333333333333,113.16666666666667,264.8333333333333,204.66666666666666
2019-01-02,1,2019-01-02,25.974999999999998,41.666666666666664,82.41666666666667,1002.0833333333334,67.75,7.908333333333332,462.25,414.5,147.08333333333334
2019-01-03,1,2019-01-03,25.5,46.78333333333333,87.75,1003.2916666666666,69.41666666666667,6.958333333333333,153.25,281.0,194.66666666666666
2019-01-04,1,2019-01-04,26.516666666666666,33.25,73.66666666666667,1004.2083333333334,70.0,8.108333333333333,523.4166666666666,438.8333333333333,130.91666666666666
2019-01-05,1,2019-01-05,26.708333333333332,35.708333333333336,72.08333333333333,1002.9416666666666,75.5,6.583333333333333,315.5,382.6666666666667,193.58333333333334
2019-01-06,1,2019-01-06,26.65833333333333,31.933333333333334,69.75,1002.4833333333332,70.75,5.8,384.5,369.25,195.08333333333334
2019-01-07,1,2019-01-07,25.96666666666667,33.05,71.83333333333333,1002.0749999999999,70.83333333333333,7.308333333333334,257.75,317.3333333333333,175.25
2019-01-08,1,2019-01-08,26.508333333333336,32.516666666666666,69.66666666666667,1001.8833333333333,75.33333333333333,7.1499999999999995,544.5,448.0,121.33333333333333
2019-01-09,1,2019-01-09,25.59166666666667,35.94166666666666,81.41666666666667,1002.4499999999999,64.58333333333333,6.608333333333333,392.6666666666667,371.25,170.25
2019-01-10,1,2019-01-10,26.625,33.525,71.41666666666667,1001.6750000000001,69.58333333333333,8.049999999999999,365.4166666666667,388.6666666666667,167.0
2019-01-11,1,2019-01-11,26.416666666666668,34.43333333333333,75.5,1000.975,71.83333333333333,6.758333333333333,235.25,347.8333333333333,229.66666666666666
2019-01-12,1,2019-01-12,26.483333333333334,36.21666666666667,72.16666666666667,1000.4166666666666,61.833333333333336,5.75,376.25,396.0833333333333,175.0
2019-01-13,1,2019-01-13,26.291666666666668,40.016666666666666,74.58333333333333,999.2583333333333,64.16666666666667,6.425,131.41666666666666,188.16666666666666,131.25
2019-01-14,1,2019-01-14,26.65833333333333,30.59166666666667,67.91666666666667,998.9250000000001,71.41666666666667,6.833333333333333,569.4166666666666,454.8333333333333,131.41666666666666
2019-01-15,1,2019-01-15,26.933333333333334,28.84166666666667,64.91666666666667,999.6166666666667,78.66666666666667,6.5,602.75,475.3333333333333,99.58333333333333
2019-01-16,1,2019-01-16,26.116666666666664,30.391666666666666,69.41666666666667,1000.3083333333334,69.0,6.616666666666667,533.5833333333334,448.9166666666667,150.58333333333334
2019-01-17,1,2019-01-17,26.349999999999998,27.583333333333332,64.41666666666667,999.8666666666667,64.25,5.075,446.8333333333333,434.4166666666667,168.91666666666666
2019-01-18,1,2019-01-18,24.833333333333332,26.358333333333334,70.25,1000.725,64.41666666666667,7.2250000000000005,606.9166666666666,480.1666666666667,114.41666666666667
2019-01-19,1,2019-01-19,25.758333333333336,32.90833333333333,73.83333333333333,999.9166666666666,65.66666666666667,6.258333333333333,396.5,390.6666666666667,166.66666666666666
2019-01-20,1,2019-01-20,26.733333333333334,41.1,70.41666666666667,998.6166666666667,55.833333333333336,6.758333333333333,203.83333333333334,336.5833333333333,246.66666666666666
2019-01-21,1,2019-01-21,26.90833333333333,48.85,70.16666666666667,997.35,49.0,6.658333333333334,90.08333333333333,297.0,243.0
2019-01-22,1,2019-01-22,26.15833333333333,39.4,76.33333333333333,997.6750000000001,43.916666666666664,5.8999999999999995,361.5833333333333,370.5,168.41666666666666
2019-01-23,1,2019-01-23,26.391666666666666,37.75833333333333,71.5,998.5916666666667,48.666666666666664,7.858333333333333,148.83333333333334,326.8333333333333,243.16666666666666
2019-01-24,1,2019-01-24,26.133333333333336,40.05833333333333,73.66666666666667,999.5166666666668,58.333333333333336,7.866666666666667,112.5,250.16666666666666,188.58333333333334
2019-01-25,1,2019-01-25,26.5,36.458333333333336,69.0,1000.6083333333332,65.75,7.241666666666667,22.0,186.25,175.41666666666666
2019-01-26,1,2019-01-26,25.650000000000002,29.05,67.66666666666667,1001.4416666666666,65.25,7.708333333333333,28.833333333333332,182.91666666666666,164.66666666666666
2019-01-27,1,2019-01-27,25.025000000000002,27.075,63.666666666666664,1002.6166666666667,65.41666666666667,7.941666666666666,127.08333333333333,272.5,184.5
2019-01-28,1,2019-01-28,25.108333333333334,27.366666666666664,63.166666666666664,1002.3083333333334,65.16666666666667,7.241666666666667,228.58333333333334,361.1666666666667,239.5
2019-01-29,1,2019-01-29,25.083333333333332,23.233333333333334,59.833333333333336,1002.225,63.666666666666664,7.425,171.75,331.5833333333333,219.91666666666666
2019-01-30,1,2019-01-30,25.666666666666668,27.175,61.75,1002.3666666666667,68.91666666666667,6.4750000000000005,168.25,290.9166666666667,175.5
2019-01-31,1,2019-01-31,25.925,32.44166666666667,73.08333333333333,1001.2666666666668,71.25,5.266666666666667,48.833333333333336,267.9166666666667,246.33333333333334
2019-02-01,2,2019-02-01,26.141666666666666,29.641666666666666,64.75,1002.1,71.0,6.7,85.41666666666667,156.83333333333334,121.08333333333333
2019-02-02,2,2019-02-02,25.650000000000002,31.21666666666667,71.0,1001.1999999999999,73.25,7.116666666666667,432.5,432.3333333333333,185.5
